gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
Male,Has relevent experience,Part time course,Graduate,STEM,19,5000-9999,Pvt Ltd,>4,141,Remain
Female,No relevent experience,Full time course,Graduate,STEM,5,,,1,24,Remain
Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,82,Remain
Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,5000-9999,Pvt Ltd,3,145,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Early Stage Startup,2,206,Remain
Male,No relevent experience,Part time course,High School,,1,10000+,Other,1,152,Remain
Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,4,42,Churn
,No relevent experience,no_enrollment,Graduate,STEM,12,,,4,50,Remain
Male,No relevent experience,no_enrollment,,,3,,,never,106,Remain
Female,Has relevent experience,Full time course,Masters,STEM,16,1000-4999,Public Sector,2,14,Remain
Male,Has relevent experience,no_enrollment,High School,,4,Oct-49,Pvt Ltd,2,36,Remain
,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Early Stage Startup,1,112,Churn
,No relevent experience,no_enrollment,Graduate,No Major,9,50-99,Pvt Ltd,never,108,Remain
Male,Has relevent experience,Part time course,Masters,STEM,9,5000-9999,Pvt Ltd,3,7,Churn
Female,No relevent experience,Full time course,Masters,STEM,5,,,never,26,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,Churn
Other,Has relevent experience,no_enrollment,Graduate,STEM,19,10000+,Public Sector,4,52,Churn
Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,20,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,11,Oct-49,Pvt Ltd,1,21,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,92,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,102,Remain
Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,Remain
,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Early Stage Startup,2,7,Remain
Male,No relevent experience,Full time course,High School,,4,10000+,Pvt Ltd,1,43,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,45,Remain
Male,Has relevent experience,Full time course,Graduate,STEM,2,50-99,Early Stage Startup,2,52,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,19,Remain
,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,Funded Startup,,32,Churn
Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,100-500,Pvt Ltd,>4,26,Churn
Male,Has relevent experience,Part time course,Graduate,STEM,6,,,1,90,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,3,25,Remain
,Has relevent experience,,Masters,STEM,13,<10,,1,15,Remain
Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,100-500,Pvt Ltd,>4,48,Remain
,No relevent experience,Full time course,High School,,3,,,,98,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,142,Churn
Other,No relevent experience,no_enrollment,Masters,Humanities,4,10000+,Pvt Ltd,4,13,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,Remain
Female,Has relevent experience,no_enrollment,Masters,Humanities,14,500-999,Public Sector,1,28,Remain
,No relevent experience,,,,2,,Pvt Ltd,never,228,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,4,22,Remain
Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,18,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,2,Oct-49,Pvt Ltd,1,29,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,,1,46,Remain
,No relevent experience,Full time course,Graduate,STEM,<1,,,never,12,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,2,17,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,Remain
Male,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,35,Remain
Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,3,14,Remain
Female,Has relevent experience,no_enrollment,Masters,STEM,2,<10,Early Stage Startup,1,4,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,12,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,108,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,136,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,,1,27,Remain
,Has relevent experience,Part time course,Masters,STEM,4,50-99,Funded Startup,1,74,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Oct-49,Early Stage Startup,1,86,Remain
Female,No relevent experience,Part time course,Graduate,STEM,<1,Oct-49,Pvt Ltd,2,83,Remain
,No relevent experience,Full time course,High School,,4,,,3,75,Remain
Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42,Remain
Female,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,,1,332,Remain
Male,No relevent experience,Full time course,Graduate,STEM,4,,,,140,Remain
Male,No relevent experience,no_enrollment,High School,,3,,,never,182,Remain
Female,No relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,13,Churn
,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,Pvt Ltd,2,172,Churn
,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,NGO,1,48,Remain
Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,1,33,Remain
,No relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,142,Remain
,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,34,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,2,14,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Oct-49,Pvt Ltd,2,27,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,24,Churn
,No relevent experience,no_enrollment,Masters,STEM,>20,,,1,150,Remain
Female,Has relevent experience,no_enrollment,Graduate,STEM,11,500-999,NGO,>4,20,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,,1,140,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,1,52,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,160,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,9,5000-9999,Pvt Ltd,2,3,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,Remain
Male,Has relevent experience,no_enrollment,Graduate,Other,>20,,,4,46,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,36,Remain
Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,160,Churn
Male,Has relevent experience,Full time course,Graduate,STEM,2,Oct-49,NGO,2,101,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,1,46,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,19,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,2,26,Churn
,Has relevent experience,Full time course,Graduate,STEM,7,<10,NGO,1,90,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,59,Remain
Male,Has relevent experience,Part time course,Graduate,Business Degree,10,50-99,Funded Startup,1,260,Remain
Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,74,Remain
Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,20,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,2,8,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,131,Remain
Male,Has relevent experience,Full time course,Masters,STEM,7,,,1,45,Remain
Male,Has relevent experience,Full time course,Graduate,STEM,11,Oct-49,Pvt Ltd,2,109,Remain
Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,100-500,Pvt Ltd,1,70,Remain
Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,17,Remain
Female,No relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,51,Remain
Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,3,60,Churn
,No relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,4,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,>4,7,Remain
,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,3,164,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,,4,290,Remain
Male,No relevent experience,no_enrollment,High School,,2,<10,NGO,never,145,Remain
,No relevent experience,no_enrollment,Phd,STEM,,,,,70,Remain
Male,No relevent experience,no_enrollment,,,3,,,1,24,Remain
Male,No relevent experience,no_enrollment,Masters,Humanities,3,10000+,Pvt Ltd,1,133,Churn
,No relevent experience,Full time course,Graduate,STEM,2,,,1,20,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,Remain
Female,No relevent experience,Full time course,Masters,STEM,5,,,4,21,Churn
Female,Has relevent experience,no_enrollment,Graduate,Other,8,5000-9999,Pvt Ltd,2,34,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,15,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,156,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,15,Remain
,Has relevent experience,no_enrollment,Masters,STEM,>20,,,never,120,Remain
,Has relevent experience,no_enrollment,Graduate,No Major,14,10000+,,>4,47,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,100,Churn
Male,Has relevent experience,Part time course,Graduate,STEM,6,500-999,Pvt Ltd,never,102,Remain
Male,No relevent experience,no_enrollment,High School,,4,,,never,52,Remain
,Has relevent experience,no_enrollment,High School,,9,Oct-49,,4,39,Remain
Male,Has relevent experience,Full time course,High School,,4,,,1,112,Churn
Male,No relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,Remain
,Has relevent experience,no_enrollment,,,11,,,1,4,Remain
,Has relevent experience,no_enrollment,Masters,Arts,>20,1000-4999,NGO,>4,55,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,4,49,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,72,Remain
Male,Has relevent experience,Full time course,Graduate,STEM,14,5000-9999,Pvt Ltd,3,141,Churn
Male,No relevent experience,no_enrollment,High School,,6,,Pvt Ltd,never,28,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,6,Remain
Male,Has relevent experience,no_enrollment,Graduate,No Major,17,5000-9999,Pvt Ltd,1,125,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,never,326,Remain
Male,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,2,33,Remain
,No relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,>4,40,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,18,,,1,198,Churn
Female,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,55,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,32,Remain
Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,41,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Public Sector,>4,87,Churn
Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,4,114,Remain
,Has relevent experience,,,,>20,,,>4,33,Remain
Male,Has relevent experience,Part time course,Masters,STEM,5,<10,Early Stage Startup,1,15,Remain
,No relevent experience,Full time course,High School,,3,,,1,8,Remain
Female,Has relevent experience,Part time course,High School,,2,100-500,NGO,1,22,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,4,13,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Public Sector,1,246,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,9,Oct-49,Pvt Ltd,1,22,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Funded Startup,1,81,Remain
,Has relevent experience,Full time course,Graduate,STEM,4,Oct-49,Funded Startup,1,11,Remain
Male,No relevent experience,Full time course,Graduate,STEM,5,5000-9999,,,24,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,50,Remain
Male,No relevent experience,Full time course,High School,,6,,,never,15,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,Oct-49,Pvt Ltd,>4,31,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,never,84,Remain
Male,Has relevent experience,Part time course,Graduate,STEM,4,10000+,Pvt Ltd,1,42,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,>4,105,Churn
Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,72,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,14,Oct-49,Pvt Ltd,>4,42,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Early Stage Startup,1,152,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,1,60,Remain
Male,No relevent experience,Full time course,Masters,STEM,2,,,never,8,Remain
Male,No relevent experience,Full time course,Masters,STEM,13,,,3,17,Churn
Male,No relevent experience,no_enrollment,High School,,1,,,1,33,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Funded Startup,never,38,Remain
Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,<10,Early Stage Startup,2,178,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,1,11,Remain
Male,Has relevent experience,no_enrollment,High School,,>20,,,never,87,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,,never,84,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Early Stage Startup,2,32,Remain
,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,Churn
Male,No relevent experience,no_enrollment,Graduate,STEM,2,500-999,Public Sector,1,39,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,7,Oct-49,Pvt Ltd,1,12,Remain
,Has relevent experience,Full time course,Graduate,STEM,5,10000+,Pvt Ltd,1,50,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,55,Churn
,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,,7,Churn
Male,Has relevent experience,no_enrollment,Masters,Humanities,2,50-99,Early Stage Startup,1,104,Remain
,Has relevent experience,Full time course,Graduate,Business Degree,>20,,,>4,90,Churn
Male,Has relevent experience,no_enrollment,Masters,Other,>20,100-500,Pvt Ltd,>4,8,Remain
Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,102,Remain
,Has relevent experience,no_enrollment,Masters,STEM,<1,Oct-49,Pvt Ltd,1,202,Churn
,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,22,Remain
Male,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42,Remain
,No relevent experience,no_enrollment,Primary School,,4,,Pvt Ltd,never,50,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Funded Startup,1,88,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,4,81,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,7,Remain
Male,No relevent experience,no_enrollment,,,3,,Pvt Ltd,never,218,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,83,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,>4,11,Remain
Male,No relevent experience,Part time course,Phd,STEM,>20,50-99,,>4,10,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,114,Remain
,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,36,Remain
,No relevent experience,,Masters,STEM,6,Oct-49,Pvt Ltd,1,17,Remain
Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,80,Churn
Male,Has relevent experience,Part time course,Graduate,STEM,>20,50-99,Public Sector,>4,108,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,45,Remain
Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,77,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,15,100-500,Pvt Ltd,2,8,Remain
,No relevent experience,no_enrollment,Graduate,STEM,5,,,1,28,Remain
Female,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Funded Startup,>4,37,Remain
,No relevent experience,Full time course,Graduate,STEM,2,,,2,108,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,13,500-999,Pvt Ltd,2,162,Remain
,Has relevent experience,Full time course,High School,,9,,,>4,41,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,19,100-500,Pvt Ltd,4,4,Remain
Female,No relevent experience,no_enrollment,Phd,STEM,3,1000-4999,Public Sector,1,41,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,2,12,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,190,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,29,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Public Sector,1,11,Remain
Male,No relevent experience,Full time course,High School,,3,10000+,Pvt Ltd,1,30,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,,>4,39,Remain
Male,Has relevent experience,Full time course,High School,,9,,,1,16,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,5,Remain
Male,No relevent experience,Full time course,High School,,8,,,never,39,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,>4,29,Remain
,Has relevent experience,Full time course,Masters,STEM,4,50-99,NGO,2,210,Remain
Other,No relevent experience,Part time course,High School,,6,50-99,Funded Startup,1,54,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,3,44,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,,>4,47,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,>4,74,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,6,Oct-49,Pvt Ltd,1,8,Churn
,No relevent experience,Full time course,Graduate,STEM,7,,,never,20,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,3,500-999,Pvt Ltd,1,162,Remain
,No relevent experience,no_enrollment,Graduate,Business Degree,2,50-99,Pvt Ltd,1,110,Remain
Other,Has relevent experience,Part time course,High School,,3,Oct-49,Pvt Ltd,1,262,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,6,Remain
Male,Has relevent experience,Part time course,Graduate,STEM,9,Oct-49,Pvt Ltd,1,19,Churn
Other,No relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,23,Churn
Male,No relevent experience,,Graduate,STEM,<1,,,1,107,Churn
Male,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,,>4,134,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,11,Oct-49,Early Stage Startup,1,40,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,11,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,3,102,Remain
Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,100,Remain
Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,never,30,Remain
,No relevent experience,no_enrollment,High School,,5,,,1,20,Churn
,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,3,4,Remain
,No relevent experience,no_enrollment,Primary School,,5,,,never,15,Remain
Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,,1,14,Churn
Male,No relevent experience,no_enrollment,Primary School,,1,,Pvt Ltd,never,103,Remain
Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,2,40,Remain
Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,2,27,Remain
Male,No relevent experience,no_enrollment,High School,,10,100-500,Pvt Ltd,>4,46,Remain
Male,Has relevent experience,no_enrollment,High School,,7,50-99,Pvt Ltd,>4,110,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Funded Startup,1,96,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,57,Remain
Male,Has relevent experience,Full time course,Graduate,STEM,6,,,1,240,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,4,42,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,7,,,1,16,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,never,40,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,2,94,Remain
,No relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Pvt Ltd,1,160,Remain
Male,No relevent experience,Part time course,Graduate,STEM,10,Oct-49,Early Stage Startup,1,25,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Early Stage Startup,1,11,Remain
,Has relevent experience,no_enrollment,High School,,<1,100-500,Pvt Ltd,1,29,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,23,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,10,Oct-49,Pvt Ltd,2,113,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,15,,,2,56,Remain
Male,No relevent experience,Full time course,Graduate,STEM,2,,,1,39,Churn
,No relevent experience,no_enrollment,Graduate,STEM,2,1000-4999,Pvt Ltd,1,20,Remain
Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,1,40,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,>4,56,Remain
,No relevent experience,Full time course,Graduate,STEM,4,,,1,106,Remain
Male,Has relevent experience,Part time course,Graduate,STEM,19,500-999,Pvt Ltd,2,64,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,51,Remain
Female,Has relevent experience,Full time course,Graduate,STEM,6,1000-4999,Pvt Ltd,2,41,Remain
,Has relevent experience,no_enrollment,Graduate,STEM,20,100-500,Pvt Ltd,>4,150,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,Pvt Ltd,1,320,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,7,,,never,20,Remain
Male,No relevent experience,Full time course,,,4,1000-4999,Pvt Ltd,1,9,Churn
Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,1,74,Remain
Male,Has relevent experience,no_enrollment,Masters,STEM,3,,Public Sector,1,129,Churn
Female,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,42,Remain
,No relevent experience,no_enrollment,High School,,2,100-500,Pvt Ltd,never,58,Remain
Male,No relevent experience,Full time course,High School,,3,,,1,126,Churn
,No relevent experience,no_enrollment,High School,,4,,,1,45,Churn
Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Oct-49,Pvt Ltd,>4,166,Remain
Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Pvt Ltd,1,110,Remain
Male,Has relevent experience,Full time course,Graduate,STEM,>20,,,1,37,Remain
